x,panel,w1,site_index,sample_index,stratum,x_coord,y_coord,is_in_sample,stratum_index,site_in_stratum_index,y,seq_site_index,trials
0,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,74,1,100
0,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,77,1,100
0,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,79,1,100
0,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,83,1,100
5,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,92,1,100
5,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,90,1,100
5,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,95,1,100
5,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,86,1,100
0,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,77,2,100
0,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,71,2,100
0,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,69,2,100
0,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,69,2,100
5,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,87,2,100
5,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,82,2,100
5,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,83,2,100
5,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,86,2,100
0,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,75,1,100
0,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,76,1,100
0,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,73,1,100
0,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,69,1,100
5,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,73,1,100
5,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,81,1,100
5,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,79,1,100
5,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,75,1,100
0,panel-01,0.1638780453866941,211,1,B,0.525,0.475,TRUE,2,204,71,3,100
0,panel-01,0.1638780453866941,211,2,B,0.525,0.475,TRUE,2,204,75,3,100
0,panel-01,0.1638780453866941,211,3,B,0.525,0.475,TRUE,2,204,72,3,100
0,panel-01,0.1638780453866941,211,4,B,0.525,0.475,TRUE,2,204,69,3,100
5,panel-01,0.1638780453866941,211,1,B,0.525,0.475,TRUE,2,204,93,3,100
5,panel-01,0.1638780453866941,211,2,B,0.525,0.475,TRUE,2,204,82,3,100
5,panel-01,0.1638780453866941,211,3,B,0.525,0.475,TRUE,2,204,91,3,100
5,panel-01,0.1638780453866941,211,4,B,0.525,0.475,TRUE,2,204,87,3,100
0,panel-01,-0.07553622373303263,326,1,A,0.275,0.17499999999999993,TRUE,1,38,77,2,100
0,panel-01,-0.07553622373303263,326,2,A,0.275,0.17499999999999993,TRUE,1,38,86,2,100
0,panel-01,-0.07553622373303263,326,3,A,0.275,0.17499999999999993,TRUE,1,38,81,2,100
0,panel-01,-0.07553622373303263,326,4,A,0.275,0.17499999999999993,TRUE,1,38,81,2,100
5,panel-01,-0.07553622373303263,326,1,A,0.275,0.17499999999999993,TRUE,1,38,83,2,100
5,panel-01,-0.07553622373303263,326,2,A,0.275,0.17499999999999993,TRUE,1,38,85,2,100
5,panel-01,-0.07553622373303263,326,3,A,0.275,0.17499999999999993,TRUE,1,38,78,2,100
5,panel-01,-0.07553622373303263,326,4,A,0.275,0.17499999999999993,TRUE,1,38,82,2,100
0,panel-01,-0.09386171570313634,333,1,B,0.625,0.17499999999999993,TRUE,2,294,73,4,100
0,panel-01,-0.09386171570313634,333,2,B,0.625,0.17499999999999993,TRUE,2,294,76,4,100
0,panel-01,-0.09386171570313634,333,3,B,0.625,0.17499999999999993,TRUE,2,294,76,4,100
0,panel-01,-0.09386171570313634,333,4,B,0.625,0.17499999999999993,TRUE,2,294,80,4,100
5,panel-01,-0.09386171570313634,333,1,B,0.625,0.17499999999999993,TRUE,2,294,93,4,100
5,panel-01,-0.09386171570313634,333,2,B,0.625,0.17499999999999993,TRUE,2,294,89,4,100
5,panel-01,-0.09386171570313634,333,3,B,0.625,0.17499999999999993,TRUE,2,294,91,4,100
5,panel-01,-0.09386171570313634,333,4,B,0.625,0.17499999999999993,TRUE,2,294,95,4,100
0,panel-01,0.21524043179748936,342,1,A,0.07500000000000001,0.125,TRUE,1,41,68,3,100
0,panel-01,0.21524043179748936,342,2,A,0.07500000000000001,0.125,TRUE,1,41,72,3,100
0,panel-01,0.21524043179748936,342,3,A,0.07500000000000001,0.125,TRUE,1,41,70,3,100
0,panel-01,0.21524043179748936,342,4,A,0.07500000000000001,0.125,TRUE,1,41,61,3,100
5,panel-01,0.21524043179748936,342,1,A,0.07500000000000001,0.125,TRUE,1,41,76,3,100
5,panel-01,0.21524043179748936,342,2,A,0.07500000000000001,0.125,TRUE,1,41,69,3,100
5,panel-01,0.21524043179748936,342,3,A,0.07500000000000001,0.125,TRUE,1,41,71,3,100
5,panel-01,0.21524043179748936,342,4,A,0.07500000000000001,0.125,TRUE,1,41,76,3,100
0,panel-01,-0.04911682354128025,368,1,A,0.375,0.07499999999999996,TRUE,1,55,79,4,100
0,panel-01,-0.04911682354128025,368,2,A,0.375,0.07499999999999996,TRUE,1,55,79,4,100
0,panel-01,-0.04911682354128025,368,3,A,0.375,0.07499999999999996,TRUE,1,55,78,4,100
0,panel-01,-0.04911682354128025,368,4,A,0.375,0.07499999999999996,TRUE,1,55,70,4,100
5,panel-01,-0.04911682354128025,368,1,A,0.375,0.07499999999999996,TRUE,1,55,80,4,100
5,panel-01,-0.04911682354128025,368,2,A,0.375,0.07499999999999996,TRUE,1,55,78,4,100
5,panel-01,-0.04911682354128025,368,3,A,0.375,0.07499999999999996,TRUE,1,55,79,4,100
